sector.name,subsector.name,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate
electricity,solar,PV,2100,capital,107,0.13
electricity,wind,wind,1975,capital,451,0.13
electricity,wind,wind,1990,capital,451,0.13
electricity,wind,wind,2005,capital,451,0.13
electricity,wind,wind,2010,capital,451,0.13
electricity,wind,wind,2015,capital,451,0.13
electricity,wind,wind,2020,capital,387,0.13
electricity,wind,wind,2025,capital,341,0.13
electricity,wind,wind,2030,capital,306,0.13
electricity,wind,wind,2035,capital,281,0.13
electricity,wind,wind,2040,capital,263,0.13
electricity,wind,wind,2045,capital,249,0.13
electricity,wind,wind,2050,capital,239,0.13
electricity,wind,wind,2055,capital,232,0.13
electricity,wind,wind,2060,capital,227,0.13
electricity,wind,wind,2065,capital,223,0.13
electricity,wind,wind,2070,capital,220,0.13
electricity,wind,wind,2075,capital,218,0.13
electricity,wind,wind,2080,capital,216,0.13
electricity,wind,wind,2085,capital,215,0.13
electricity,wind,wind,2090,capital,214,0.13
electricity,wind,wind,2095,capital,214,0.13
electricity,wind,wind,2100,capital,213,0.13
electricity,wind,wind_offshore,1975,capital,1118,0.13
electricity,wind,wind_offshore,1990,capital,1118,0.13
electricity,wind,wind_offshore,2005,capital,1118,0.13
electricity,wind,wind_offshore,2010,capital,1118,0.13
electricity,wind,wind_offshore,2015,capital,1118,0.13
electricity,wind,wind_offshore,2020,capital,886,0.13
electricity,wind,wind_offshore,2025,capital,722,0.13
electricity,wind,wind_offshore,2030,capital,606,0.13
electricity,wind,wind_offshore,2035,capital,524,0.13
electricity,wind,wind_offshore,2040,capital,466,0.13
electricity,wind,wind_offshore,2045,capital,425,0.13
electricity,wind,wind_offshore,2050,capital,396,0.13
electricity,wind,wind_offshore,2055,capital,376,0.13
electricity,wind,wind_offshore,2060,capital,361,0.13
electricity,wind,wind_offshore,2065,capital,351,0.13
electricity,wind,wind_offshore,2070,capital,343,0.13
electricity,wind,wind_offshore,2075,capital,338,0.13
electricity,wind,wind_offshore,2080,capital,335,0.13
electricity,wind,wind_offshore,2085,capital,332,0.13
electricity,wind,wind_offshore,2090,capital,330,0.13
electricity,wind,wind_offshore,2095,capital,329,0.13
electricity,wind,wind_offshore,2100,capital,328,0.13
