sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate
electricity,biomass,biomass (IGCC CCS),2075,capital,1385,0.13
electricity,biomass,biomass (IGCC CCS),2080,capital,1352,0.13
electricity,biomass,biomass (IGCC CCS),2085,capital,1323,0.13
electricity,biomass,biomass (IGCC CCS),2090,capital,1296,0.13
electricity,biomass,biomass (IGCC CCS),2095,capital,1273,0.13
electricity,biomass,biomass (IGCC CCS),2100,capital,1251,0.13
electricity,biomass,biomass (IGCC),1975,capital,1598,0.13
electricity,biomass,biomass (IGCC),1990,capital,1598,0.13
electricity,biomass,biomass (IGCC),2005,capital,1598,0.13
electricity,biomass,biomass (IGCC),2010,capital,1598,0.13
electricity,biomass,biomass (IGCC),2015,capital,1598,0.13
electricity,biomass,biomass (IGCC),2020,capital,1534,0.13
electricity,biomass,biomass (IGCC),2025,capital,1475,0.13
electricity,biomass,biomass (IGCC),2030,capital,1423,0.13
electricity,biomass,biomass (IGCC),2035,capital,1375,0.13
electricity,biomass,biomass (IGCC),2040,capital,1332,0.13
electricity,biomass,biomass (IGCC),2045,capital,1293,0.13
electricity,biomass,biomass (IGCC),2050,capital,1258,0.13
electricity,biomass,biomass (IGCC),2055,capital,1226,0.13
electricity,biomass,biomass (IGCC),2060,capital,1197,0.13
electricity,biomass,biomass (IGCC),2065,capital,1171,0.13
electricity,biomass,biomass (IGCC),2070,capital,1148,0.13
electricity,biomass,biomass (IGCC),2075,capital,1127,0.13
electricity,biomass,biomass (IGCC),2080,capital,1107,0.13
electricity,biomass,biomass (IGCC),2085,capital,1090,0.13
electricity,biomass,biomass (IGCC),2090,capital,1074,0.13
electricity,biomass,biomass (IGCC),2095,capital,1060,0.13
electricity,biomass,biomass (IGCC),2100,capital,1047,0.13
electricity,coal,coal (conv pul CCS),1975,capital,1553,0.13
electricity,coal,coal (conv pul CCS),1990,capital,1553,0.13
electricity,coal,coal (conv pul CCS),2005,capital,1553,0.13
electricity,coal,coal (conv pul CCS),2010,capital,1553,0.13
electricity,coal,coal (conv pul CCS),2015,capital,1553,0.13
electricity,coal,coal (conv pul CCS),2020,capital,1530,0.13
electricity,coal,coal (conv pul CCS),2025,capital,1509,0.13
electricity,coal,coal (conv pul CCS),2030,capital,1488,0.13
electricity,coal,coal (conv pul CCS),2035,capital,1468,0.13
electricity,coal,coal (conv pul CCS),2040,capital,1450,0.13
electricity,coal,coal (conv pul CCS),2045,capital,1432,0.13
electricity,coal,coal (conv pul CCS),2050,capital,1415,0.13
electricity,coal,coal (conv pul CCS),2055,capital,1399,0.13
electricity,coal,coal (conv pul CCS),2060,capital,1384,0.13
electricity,coal,coal (conv pul CCS),2065,capital,1369,0.13
electricity,coal,coal (conv pul CCS),2070,capital,1355,0.13
electricity,coal,coal (conv pul CCS),2075,capital,1342,0.13
electricity,coal,coal (conv pul CCS),2080,capital,1330,0.13
electricity,coal,coal (conv pul CCS),2085,capital,1318,0.13
electricity,coal,coal (conv pul CCS),2090,capital,1307,0.13
electricity,coal,coal (conv pul CCS),2095,capital,1296,0.13
electricity,coal,coal (conv pul CCS),2100,capital,1286,0.13
electricity,coal,coal (conv pul),1975,capital,1015,0.13
electricity,coal,coal (conv pul),1990,capital,1015,0.13
electricity,coal,coal (conv pul),2005,capital,1015,0.13
electricity,coal,coal (conv pul),2010,capital,1015,0.13
electricity,coal,coal (conv pul),2015,capital,1015,0.13
electricity,coal,coal (conv pul),2020,capital,999,0.13
electricity,coal,coal (conv pul),2025,capital,985,0.13
electricity,coal,coal (conv pul),2030,capital,972,0.13
electricity,coal,coal (conv pul),2035,capital,961,0.13
electricity,coal,coal (conv pul),2040,capital,950,0.13
electricity,coal,coal (conv pul),2045,capital,941,0.13
electricity,coal,coal (conv pul),2050,capital,932,0.13
electricity,coal,coal (conv pul),2055,capital,925,0.13
electricity,coal,coal (conv pul),2060,capital,918,0.13
electricity,coal,coal (conv pul),2065,capital,911,0.13
electricity,coal,coal (conv pul),2070,capital,906,0.13
electricity,coal,coal (conv pul),2075,capital,901,0.13
electricity,coal,coal (conv pul),2080,capital,896,0.13
electricity,coal,coal (conv pul),2085,capital,892,0.13
electricity,coal,coal (conv pul),2090,capital,888,0.13
electricity,coal,coal (conv pul),2095,capital,885,0.13
electricity,coal,coal (conv pul),2100,capital,881,0.13
electricity,coal,coal (IGCC CCS),1975,capital,1797,0.13
electricity,coal,coal (IGCC CCS),1990,capital,1797,0.13
electricity,coal,coal (IGCC CCS),2005,capital,1797,0.13
electricity,coal,coal (IGCC CCS),2010,capital,1797,0.13
electricity,coal,coal (IGCC CCS),2015,capital,1797,0.13
electricity,coal,coal (IGCC CCS),2020,capital,1705,0.13
electricity,coal,coal (IGCC CCS),2025,capital,1627,0.13
electricity,coal,coal (IGCC CCS),2030,capital,1559,0.13
electricity,coal,coal (IGCC CCS),2035,capital,1501,0.13
electricity,coal,coal (IGCC CCS),2040,capital,1452,0.13
electricity,coal,coal (IGCC CCS),2045,capital,1409,0.13
electricity,coal,coal (IGCC CCS),2050,capital,1373,0.13
electricity,coal,coal (IGCC CCS),2055,capital,1341,0.13
electricity,coal,coal (IGCC CCS),2060,capital,1314,0.13
electricity,coal,coal (IGCC CCS),2065,capital,1291,0.13
electricity,coal,coal (IGCC CCS),2070,capital,1271,0.13
electricity,coal,coal (IGCC CCS),2075,capital,1254,0.13
electricity,coal,coal (IGCC CCS),2080,capital,1239,0.13
electricity,coal,coal (IGCC CCS),2085,capital,1226,0.13
electricity,coal,coal (IGCC CCS),2090,capital,1216,0.13
electricity,coal,coal (IGCC CCS),2095,capital,1206,0.13
electricity,coal,coal (IGCC CCS),2100,capital,1198,0.13
electricity,coal,coal (IGCC),1975,capital,1089,0.13
electricity,coal,coal (IGCC),1990,capital,1089,0.13
electricity,coal,coal (IGCC),2005,capital,1089,0.13
electricity,coal,coal (IGCC),2010,capital,1089,0.13
electricity,coal,coal (IGCC),2015,capital,1089,0.13
electricity,coal,coal (IGCC),2020,capital,1052,0.13
electricity,coal,coal (IGCC),2025,capital,1020,0.13
electricity,coal,coal (IGCC),2030,capital,993,0.13
electricity,coal,coal (IGCC),2035,capital,970,0.13
electricity,coal,coal (IGCC),2040,capital,950,0.13
electricity,coal,coal (IGCC),2045,capital,932,0.13
electricity,coal,coal (IGCC),2050,capital,917,0.13
electricity,coal,coal (IGCC),2055,capital,905,0.13
electricity,coal,coal (IGCC),2060,capital,894,0.13
electricity,coal,coal (IGCC),2065,capital,884,0.13
electricity,coal,coal (IGCC),2070,capital,876,0.13
electricity,coal,coal (IGCC),2075,capital,870,0.13
electricity,coal,coal (IGCC),2080,capital,864,0.13
electricity,coal,coal (IGCC),2085,capital,858,0.13
electricity,coal,coal (IGCC),2090,capital,854,0.13
electricity,coal,coal (IGCC),2095,capital,850,0.13
electricity,coal,coal (IGCC),2100,capital,847,0.13
electricity,gas,gas (CC CCS),1975,capital,601,0.13
electricity,gas,gas (CC CCS),1990,capital,601,0.13
electricity,gas,gas (CC CCS),2005,capital,601,0.13
electricity,gas,gas (CC CCS),2010,capital,601,0.13
electricity,gas,gas (CC CCS),2015,capital,601,0.13
electricity,gas,gas (CC CCS),2020,capital,577,0.13
electricity,gas,gas (CC CCS),2025,capital,556,0.13
electricity,gas,gas (CC CCS),2030,capital,537,0.13
electricity,gas,gas (CC CCS),2035,capital,522,0.13
electricity,gas,gas (CC CCS),2040,capital,508,0.13
electricity,gas,gas (CC CCS),2045,capital,497,0.13
electricity,gas,gas (CC CCS),2050,capital,487,0.13
electricity,gas,gas (CC CCS),2055,capital,478,0.13
electricity,gas,gas (CC CCS),2060,capital,471,0.13
electricity,gas,gas (CC CCS),2065,capital,465,0.13
electricity,gas,gas (CC CCS),2070,capital,460,0.13
electricity,gas,gas (CC CCS),2075,capital,455,0.13
electricity,gas,gas (CC CCS),2080,capital,451,0.13
electricity,gas,gas (CC CCS),2085,capital,448,0.13
electricity,gas,gas (CC CCS),2090,capital,445,0.13
electricity,gas,gas (CC CCS),2095,capital,442,0.13
electricity,gas,gas (CC CCS),2100,capital,440,0.13
electricity,gas,gas (CC),1975,capital,288,0.13
electricity,gas,gas (CC),1990,capital,288,0.13
electricity,gas,gas (CC),2005,capital,288,0.13
electricity,gas,gas (CC),2010,capital,288,0.13
electricity,gas,gas (CC),2015,capital,288,0.13
electricity,gas,gas (CC),2020,capital,262,0.13
electricity,gas,gas (CC),2025,capital,246,0.13
electricity,gas,gas (CC),2030,capital,235,0.13
electricity,gas,gas (CC),2035,capital,227,0.13
electricity,gas,gas (CC),2040,capital,222,0.13
electricity,gas,gas (CC),2045,capital,219,0.13
electricity,gas,gas (CC),2050,capital,217,0.13
electricity,gas,gas (CC),2055,capital,216,0.13
electricity,gas,gas (CC),2060,capital,215,0.13
electricity,gas,gas (CC),2065,capital,214,0.13
electricity,gas,gas (CC),2070,capital,214,0.13
electricity,gas,gas (CC),2075,capital,214,0.13
electricity,gas,gas (CC),2080,capital,213,0.13
electricity,gas,gas (CC),2085,capital,213,0.13
electricity,gas,gas (CC),2090,capital,213,0.13
electricity,gas,gas (CC),2095,capital,213,0.13
electricity,gas,gas (CC),2100,capital,213,0.13
electricity,gas,gas (steam/CT),1975,capital,246,0.13
electricity,gas,gas (steam/CT),1990,capital,246,0.13
electricity,gas,gas (steam/CT),2005,capital,246,0.13
electricity,gas,gas (steam/CT),2010,capital,246,0.13
electricity,gas,gas (steam/CT),2015,capital,246,0.13
electricity,gas,gas (steam/CT),2020,capital,239,0.13
electricity,gas,gas (steam/CT),2025,capital,232,0.13
electricity,gas,gas (steam/CT),2030,capital,228,0.13
electricity,gas,gas (steam/CT),2035,capital,224,0.13
electricity,gas,gas (steam/CT),2040,capital,221,0.13
electricity,gas,gas (steam/CT),2045,capital,219,0.13
electricity,gas,gas (steam/CT),2050,capital,218,0.13
electricity,gas,gas (steam/CT),2055,capital,216,0.13
electricity,gas,gas (steam/CT),2060,capital,215,0.13
electricity,gas,gas (steam/CT),2065,capital,214,0.13
electricity,gas,gas (steam/CT),2070,capital,214,0.13
electricity,gas,gas (steam/CT),2075,capital,213,0.13
electricity,gas,gas (steam/CT),2080,capital,213,0.13
electricity,gas,gas (steam/CT),2085,capital,213,0.13
electricity,gas,gas (steam/CT),2090,capital,213,0.13
electricity,gas,gas (steam/CT),2095,capital,212,0.13
electricity,gas,gas (steam/CT),2100,capital,212,0.13
electricity,geothermal,geothermal,1975,capital,1335,0.13
electricity,geothermal,geothermal,1990,capital,1335,0.13
electricity,geothermal,geothermal,2005,capital,1335,0.13
electricity,geothermal,geothermal,2010,capital,1335,0.13
electricity,geothermal,geothermal,2015,capital,1335,0.13
electricity,geothermal,geothermal,2020,capital,948,0.13
electricity,geothermal,geothermal,2025,capital,948,0.13
electricity,geothermal,geothermal,2030,capital,948,0.13
electricity,geothermal,geothermal,2035,capital,948,0.13
electricity,geothermal,geothermal,2040,capital,948,0.13
electricity,geothermal,geothermal,2045,capital,948,0.13
electricity,geothermal,geothermal,2050,capital,948,0.13
electricity,geothermal,geothermal,2055,capital,948,0.13
electricity,geothermal,geothermal,2060,capital,948,0.13
electricity,geothermal,geothermal,2065,capital,948,0.13
electricity,geothermal,geothermal,2070,capital,948,0.13
electricity,geothermal,geothermal,2075,capital,948,0.13
electricity,geothermal,geothermal,2080,capital,948,0.13
electricity,geothermal,geothermal,2085,capital,948,0.13
electricity,geothermal,geothermal,2090,capital,948,0.13
electricity,geothermal,geothermal,2095,capital,948,0.13
electricity,geothermal,geothermal,2100,capital,948,0.13
electricity,nuclear,Gen_II_LWR,1975,capital,1650,0.13
electricity,nuclear,Gen_II_LWR,1990,capital,1650,0.13
electricity,nuclear,Gen_II_LWR,2005,capital,1650,0.13
electricity,nuclear,Gen_II_LWR,2010,capital,1650,0.13
electricity,nuclear,Gen_II_LWR,2015,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2020,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2025,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2030,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2035,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2040,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2045,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2050,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2055,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2060,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2065,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2070,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2075,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2080,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2085,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2090,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2095,capital,1704,0.13
electricity,nuclear,Gen_II_LWR,2100,capital,1704,0.13
electricity,nuclear,Gen_III,1975,capital,1704,0.13
electricity,nuclear,Gen_III,1990,capital,1704,0.13
electricity,nuclear,Gen_III,2005,capital,1704,0.13
electricity,nuclear,Gen_III,2010,capital,1704,0.13
electricity,nuclear,Gen_III,2015,capital,1704,0.13
electricity,nuclear,Gen_III,2020,capital,1632,0.13
electricity,nuclear,Gen_III,2025,capital,1570,0.13
electricity,nuclear,Gen_III,2030,capital,1517,0.13
electricity,nuclear,Gen_III,2035,capital,1471,0.13
electricity,nuclear,Gen_III,2040,capital,1432,0.13
electricity,nuclear,Gen_III,2045,capital,1398,0.13
electricity,nuclear,Gen_III,2050,capital,1369,0.13
electricity,nuclear,Gen_III,2055,capital,1344,0.13
electricity,nuclear,Gen_III,2060,capital,1323,0.13
electricity,nuclear,Gen_III,2065,capital,1304,0.13
electricity,nuclear,Gen_III,2070,capital,1289,0.13
electricity,nuclear,Gen_III,2075,capital,1275,0.13
electricity,nuclear,Gen_III,2080,capital,1263,0.13
electricity,nuclear,Gen_III,2085,capital,1253,0.13
electricity,nuclear,Gen_III,2090,capital,1245,0.13
electricity,nuclear,Gen_III,2095,capital,1238,0.13
electricity,nuclear,Gen_III,2100,capital,1231,0.13
electricity,refined liquids,refined liquids (CC CCS),1975,capital,716,0.13
electricity,refined liquids,refined liquids (CC CCS),1990,capital,716,0.13
electricity,refined liquids,refined liquids (CC CCS),2005,capital,716,0.13
electricity,refined liquids,refined liquids (CC CCS),2010,capital,716,0.13
electricity,refined liquids,refined liquids (CC CCS),2015,capital,716,0.13
electricity,refined liquids,refined liquids (CC CCS),2020,capital,683,0.13
electricity,refined liquids,refined liquids (CC CCS),2025,capital,655,0.13
electricity,refined liquids,refined liquids (CC CCS),2030,capital,632,0.13
electricity,refined liquids,refined liquids (CC CCS),2035,capital,611,0.13
electricity,refined liquids,refined liquids (CC CCS),2040,capital,594,0.13
electricity,refined liquids,refined liquids (CC CCS),2045,capital,578,0.13
electricity,refined liquids,refined liquids (CC CCS),2050,capital,565,0.13
electricity,refined liquids,refined liquids (CC CCS),2055,capital,554,0.13
electricity,refined liquids,refined liquids (CC CCS),2060,capital,545,0.13
electricity,refined liquids,refined liquids (CC CCS),2065,capital,537,0.13
electricity,refined liquids,refined liquids (CC CCS),2070,capital,530,0.13
electricity,refined liquids,refined liquids (CC CCS),2075,capital,523,0.13
electricity,refined liquids,refined liquids (CC CCS),2080,capital,518,0.13
electricity,refined liquids,refined liquids (CC CCS),2085,capital,514,0.13
electricity,refined liquids,refined liquids (CC CCS),2090,capital,510,0.13
electricity,refined liquids,refined liquids (CC CCS),2095,capital,507,0.13
electricity,refined liquids,refined liquids (CC CCS),2100,capital,504,0.13
electricity,refined liquids,refined liquids (CC),1975,capital,288,0.13
electricity,refined liquids,refined liquids (CC),1990,capital,288,0.13
electricity,refined liquids,refined liquids (CC),2005,capital,288,0.13
electricity,refined liquids,refined liquids (CC),2010,capital,288,0.13
electricity,refined liquids,refined liquids (CC),2015,capital,288,0.13
electricity,refined liquids,refined liquids (CC),2020,capital,262,0.13
electricity,refined liquids,refined liquids (CC),2025,capital,246,0.13
electricity,refined liquids,refined liquids (CC),2030,capital,235,0.13
electricity,refined liquids,refined liquids (CC),2035,capital,227,0.13
electricity,refined liquids,refined liquids (CC),2040,capital,222,0.13
electricity,refined liquids,refined liquids (CC),2045,capital,219,0.13
electricity,refined liquids,refined liquids (CC),2050,capital,217,0.13
electricity,refined liquids,refined liquids (CC),2055,capital,216,0.13
electricity,refined liquids,refined liquids (CC),2060,capital,215,0.13
electricity,refined liquids,refined liquids (CC),2065,capital,214,0.13
electricity,refined liquids,refined liquids (CC),2070,capital,214,0.13
electricity,refined liquids,refined liquids (CC),2075,capital,214,0.13
electricity,refined liquids,refined liquids (CC),2080,capital,213,0.13
electricity,refined liquids,refined liquids (CC),2085,capital,213,0.13
electricity,refined liquids,refined liquids (CC),2090,capital,213,0.13
electricity,refined liquids,refined liquids (CC),2095,capital,213,0.13
electricity,refined liquids,refined liquids (CC),2100,capital,213,0.13
electricity,refined liquids,refined liquids (steam/CT),1975,capital,246,0.13
electricity,refined liquids,refined liquids (steam/CT),1990,capital,246,0.13
electricity,refined liquids,refined liquids (steam/CT),2005,capital,246,0.13
electricity,refined liquids,refined liquids (steam/CT),2010,capital,246,0.13
electricity,refined liquids,refined liquids (steam/CT),2015,capital,246,0.13
electricity,refined liquids,refined liquids (steam/CT),2020,capital,239,0.13
electricity,refined liquids,refined liquids (steam/CT),2025,capital,232,0.13
electricity,refined liquids,refined liquids (steam/CT),2030,capital,228,0.13
electricity,refined liquids,refined liquids (steam/CT),2035,capital,224,0.13
electricity,refined liquids,refined liquids (steam/CT),2040,capital,221,0.13
electricity,refined liquids,refined liquids (steam/CT),2045,capital,219,0.13
electricity,refined liquids,refined liquids (steam/CT),2050,capital,218,0.13
electricity,refined liquids,refined liquids (steam/CT),2055,capital,216,0.13
electricity,refined liquids,refined liquids (steam/CT),2060,capital,215,0.13
electricity,refined liquids,refined liquids (steam/CT),2065,capital,214,0.13
electricity,refined liquids,refined liquids (steam/CT),2070,capital,214,0.13
electricity,refined liquids,refined liquids (steam/CT),2075,capital,213,0.13
electricity,refined liquids,refined liquids (steam/CT),2080,capital,213,0.13
electricity,refined liquids,refined liquids (steam/CT),2085,capital,213,0.13
electricity,refined liquids,refined liquids (steam/CT),2090,capital,213,0.13
electricity,refined liquids,refined liquids (steam/CT),2095,capital,212,0.13
electricity,refined liquids,refined liquids (steam/CT),2100,capital,212,0.13
electricity,solar,CSP_storage,1975,capital,2270,0.13
electricity,solar,CSP_storage,1990,capital,2270,0.13
electricity,solar,CSP_storage,2005,capital,2270,0.13
electricity,solar,CSP_storage,2010,capital,2270,0.13
electricity,solar,CSP_storage,2015,capital,2270,0.13
electricity,solar,CSP_storage,2020,capital,1622,0.13
electricity,solar,CSP_storage,2025,capital,1217,0.13
electricity,solar,CSP_storage,2030,capital,964,0.13
electricity,solar,CSP_storage,2035,capital,807,0.13
electricity,solar,CSP_storage,2040,capital,708,0.13
electricity,solar,CSP_storage,2045,capital,647,0.13
electricity,solar,CSP_storage,2050,capital,608,0.13
electricity,solar,CSP_storage,2055,capital,585,0.13
electricity,solar,CSP_storage,2060,capital,570,0.13
electricity,solar,CSP_storage,2065,capital,560,0.13
electricity,solar,CSP_storage,2070,capital,555,0.13
electricity,solar,CSP_storage,2075,capital,551,0.13
electricity,solar,CSP_storage,2080,capital,549,0.13
electricity,solar,CSP_storage,2085,capital,547,0.13
electricity,solar,CSP_storage,2090,capital,546,0.13
electricity,solar,CSP_storage,2095,capital,546,0.13
electricity,solar,CSP_storage,2100,capital,545,0.13
electricity,solar,PV_storage,1975,capital,1896,0.13
electricity,solar,PV_storage,1990,capital,1896,0.13
electricity,solar,PV_storage,2005,capital,1896,0.13
electricity,solar,PV_storage,2010,capital,1896,0.13
electricity,solar,PV_storage,2015,capital,1896,0.13
electricity,solar,PV_storage,2020,capital,1283,0.13
electricity,solar,PV_storage,2025,capital,900,0.13
electricity,solar,PV_storage,2030,capital,662,0.13
electricity,solar,PV_storage,2035,capital,513,0.13
electricity,solar,PV_storage,2040,capital,420,0.13
electricity,solar,PV_storage,2045,capital,362,0.13
electricity,solar,PV_storage,2050,capital,326,0.13
electricity,solar,PV_storage,2055,capital,303,0.13
electricity,solar,PV_storage,2060,capital,289,0.13
electricity,solar,PV_storage,2065,capital,280,0.13
electricity,solar,PV_storage,2070,capital,275,0.13
electricity,solar,PV_storage,2075,capital,271,0.13
electricity,solar,PV_storage,2080,capital,269,0.13
electricity,solar,PV_storage,2085,capital,268,0.13
electricity,solar,PV_storage,2090,capital,267,0.13
electricity,solar,PV_storage,2095,capital,266,0.13
electricity,solar,PV_storage,2100,capital,266,0.13
electricity,wind,wind_storage,1975,capital,1681,0.13
electricity,wind,wind_storage,1990,capital,1681,0.13
electricity,wind,wind_storage,2005,capital,1681,0.13
electricity,wind,wind_storage,2010,capital,1681,0.13
electricity,wind,wind_storage,2015,capital,1681,0.13
electricity,wind,wind_storage,2020,capital,1272,0.13
electricity,wind,wind_storage,2025,capital,987,0.13
electricity,wind,wind_storage,2030,capital,789,0.13
electricity,wind,wind_storage,2035,capital,651,0.13
electricity,wind,wind_storage,2040,capital,555,0.13
electricity,wind,wind_storage,2045,capital,489,0.13
electricity,wind,wind_storage,2050,capital,442,0.13
electricity,wind,wind_storage,2055,capital,410,0.13
electricity,wind,wind_storage,2060,capital,387,0.13
electricity,wind,wind_storage,2065,capital,372,0.13
electricity,wind,wind_storage,2070,capital,361,0.13
electricity,wind,wind_storage,2075,capital,353,0.13
electricity,wind,wind_storage,2080,capital,348,0.13
electricity,wind,wind_storage,2085,capital,344,0.13
electricity,wind,wind_storage,2090,capital,342,0.13
electricity,wind,wind_storage,2095,capital,340,0.13
electricity,wind,wind_storage,2100,capital,339,0.13
